"id","star_rating","title","date","site","content_clean_nostop"
"imdb0065",10,"WOW.","2020-01-17","imdb","wow loved cinematography beautiful"
"imdb0066",10,"where to start?","2020-12-04","imdb","love acting music set piece cinematography props bong compress 2 hour quality perfect themes genres comedy satire drama horror thriller family confused matter theme genre centred main message rich poor portrayed comedically horrifically write preview reader stay attentive deserved 4 oscar wins english remake"
"imdb0067",10,"Excellent","2020-09-16","imdb","impressive uncomfortable masterpiece times feel smell moments emanate"
"imdb0068",10,"if you haven't seen it for the first time I envy you","2020-01-16","imdb","delightful beginning genres loved pace comedy twist pretty waiting pick details crowd mine bonded trough laughs shock talking thinking overrated okey thinking days"
"imdb0069",10,"One of the few movies that is gonna be remembered for a long time","2019-07-22","imdb","honstly feel write review wow coz ruin surprise feeling mixture genius"
"imdb0070",10,"Didn't see it coming","2021-02-13","imdb","rolls expect control quickly happening real life weird read paper happen stays understand rave reviews fir"
"imdb0071",10,"Finally something Gooood","2020-02-15","imdb","unexpected journey ironic tragic account"
"imdb0072",10,"Parasite was the single best film I saw in 2019.","2020-09-29","imdb","fresh enjoy film's juicy surprises unraveled craft master steadily building scheme inviting complicity yanking rug"
"imdb0073",10,"Subtle and subversive depiction of the society","2021-06-22","imdb","moment unnecessary extra exceptionally paced edited yang jin mo bong jon ho masterfully constructs stylized dramatic sequences set brilliant background score jung jae il rapidly moves results gripping poignant ensemble enhance proceedings superlative performances song kang ho park dam choi woo shik insightful searing exploration human behavior masterfully crafted definite"
"imdb0074",10,"Simply Awesome","2020-04-14","imdb","watch.what"
"imdb0075",10,"More than just a masterpiece","2019-12-18","imdb","difficult satisfy outperform masterpiece thrillers sixth sense modern mystery inception loved fight club inception se7en gonegirl shutter island 5 min witness achievement filmmaking decade set standard difficult crack normal"
"imdb0076",10,"Good","2020-05-09","imdb","muito bom filme muito bom bom mesmomuito bom filme muito bom bom mesmomuito bom filme muito bommuito bom filme muito bom bom mesmo bom mesmo"
"imdb0077",10,"A brilliant masterpiece!","2020-01-12","imdb","decade amazing music cinematography genius writing direction provoking philosophical piece moral stands life survival ascend happiness descend reminds money complex simple delivered brilliant acting bong joon ho proven filmmakers"
"imdb0078",10,"Full Emotion in HQ please!","2019-09-05","imdb","expectation believed hype call level motion picture terms funny intense terrific dramatic time emotion enormous laughter enormous sadness compassion suspense society suggestion solution perfectly written intro easily unanimous palme d'or 100 deserved hype finish congratulations bong"
"imdb0079",10,"This is a very very intriguing movie, See it!!","2019-12-23","imdb","kinda scary reminds sweenie todd family"
"imdb0080",10,"A must see,","2019-11-14","imdb","compelling gripping stupefyingly unpredictable remarkably refreshing leaves drop jawed conclusion"
"imdb0081",10,"absolutely amazing...","2020-04-29","imdb","speechless literally covers genres message catchiness scenario absolute masterpiece y'all"
"imdb0082",10,"OSCAR WORTHY!","2020-06-19","imdb","incredible message commentary direction oscar picture winner giving laughs beginning sudden change tone middle terrify gore ghosts events happen real life"
"imdb0083",10,"Brilliant!","2020-06-07","imdb","eyes screen unpredictable emotional bad reviews simple minded critics unable comprehend deeper bad bored understand"
"imdb0084",10,"Brilliant","2022-01-21","imdb","remember time complete jolt awake totally unexpected electric storytelling brought masterful direction acting thrill reason masterpiece read reviews enjoyed knowing"
"imdb0085",10,"The best flim of the year 2019....a masterpiece","2019-12-06","imdb","easily entire world legendary bong joon ho memories murder host snowpeircer okja churns masterpiece parasites completely engages brilliant storytelling comedy humour suspense thrill drama elements hooked screen peformance top notch flim visual treat filled suprising moments rare telling screen kudos bong joon ho team experimenting theme genre remembered classic wont wrong finest decade"
"imdb0086",10,"A pure masterpiece brilliantly written and directed","2019-08-24","imdb","start building fun perfectly delivers feel peoples poor chasing free wifi signal fast paced surely decade"
"imdb0087",10,"MOVIE OF THE DECADE","2021-02-01","imdb","lesson filled spectacular actor's enjoyed finally producers phenomenal word awesome"
